Movie,Year
Black Panther,2018
Avengers: Infinity War,2018
Incredibles 2,2018
Jurassic World: Fallen Kingdom,2018
Aquaman,2018
Deadpool 2,2018
The Grinch,2018
Mission: Impossible – Fallout,2018
Ant-Man and the Wasp,2018
Bohemian Rhapsody,2018
Insidious: The Last Key,2018
The Strange Ones,2018
The Commuter,2018
Proud Mary,2018
Acts of Violence,2018
Freak Show,2018
Humor Me,2018
12 Strong,2018
Den of Thieves,2018
Forever My Girl,2018
Thane of East County,2018
Maze Runner: The Death Cure,2018
Please Stand By,2018
Winchester,2018
A Fantastic Woman,2018
Armed,2018
The Cloverfield Paradox,2018
Bad Apples,2018
Peter Rabbit,2018
Pad Man,2018
Fifty Shades Freed,2018
The 15:17 to Paris,2018
Permission,2018
Golden Exits,2018
Nostalgia,2018
Samson,2018
Game Night,2018
Annihilation,2018
Every Day,2018
The Cured,2018
Red Sparrow,2018
Death Wish,2018
The Vanishing of Sidney Hall,2018
Pickings,2018
A Wrinkle in Time,2018
Gringo,2018
Thoroughbreds,2018
The Strangers: Prey at Night,2018
The Hurricane Heist,2018
Tomb Raider,2018
"Love, Simon",2018
I Can Only Imagine,2018
Entebbe,2018
Furlough,2018
Josie,2018
Flower,2018
Pacific Rim Uprising,2018
Isle of Dogs,2018
Sherlock Gnomes,2018
Unsane,2018
"Paul, Apostle of Christ",2018
Final Portrait,2018
Midnight Sun,2018
Ready Player One,2018
Acrimony,2018
God's Not Dead: A Light in Darkness,2018
Gemini,2018
The Last Movie Star,2018
A Quiet Place,2018
Blockers,2018
You Were Never Really Here,2018
Chappaquiddick,2018
The Miracle Season,2018
Beirut,2018
Rampage,2018
Truth or Dare,2018
The Rider,2018
Sgt. Stubby: An American Hero,2018
I Feel Pretty,2018
Super Troopers 2,2018
Traffik,2018
The House of Tomorrow,2018
Disobedience,2018
Backstabbing for Beginners,2018
Kings,2018
Overboard,2018
Tully,2018
Bad Samaritan,2018
The Cleanse,2018
Life of the Party,2018
Breaking In,2018
The Seagull,2018
Terminal,2018
Book Club,2018
First Reformed,2018
Show Dogs,2018
Solo: A Star Wars Story,2018
How to Talk to Girls at Parties,2018
In Darkness,2018
Future World,2018
Action Point,2018
Adrift,2018
Upgrade,2018
American Animals,2018
Social Animals,2018
Ocean's 8,2018
Won't You Be My Neighbor?,2018
Hereditary,2018
Hotel Artemis,2018
Superfly,2018
Tag,2018
Gotti,2018
Boundaries,2018
Damsel,2018
The Domestics,2018
Sicario: Day of the Soldado,2018
Leave No Trace,2018
Love All You Have Left,2018
Uncle Drew,2018
Woman Walks Ahead,2018
Who's Watching Oliver,2018
The First Purge,2018
Sorry to Bother You,2018
Whitney,2018
Hotel Transylvania 3: Summer Vacation,2018
Skyscraper,2018
Eighth Grade,2018
"Don't Worry, He Won't Get Far on Foot",2018
Shock and Awe,2018
Mamma Mia! Here We Go Again,2018
The Equalizer 2,2018
Blindspotting,2018
Unfriended: Dark Web,2018
Teen Titans Go! To the Movies,2018
Hot Summer Nights,2018
Puzzle,2018
Extinction,2018
Christopher Robin,2018
The Darkest Minds,2018
The Spy Who Dumped Me,2018
The Miseducation of Cameron Post,2018
Never Goin' Back,2018
Dog Days,2018
The Meg,2018
BlacKkKlansman,2018
Slender Man,2018
A Prayer Before Dawn,2018
Crazy Rich Asians,2018
Alpha,2018
Mile 22,2018
The Wife,2018
Billionaire Boys Club,2018
"Juliet, Naked",2018
Down a Dark Hall,2018
To All the Boys I've Loved Before,2018
The Happytime Murders,2018
Searching,2018
Papillon,2018
A.X.L.,2018
Operation Finale,2018
Kin,2018
Destination Wedding,2018
Reprisal,2018
The Nun,2018
Peppermint,2018
The Predator,2018
White Boy Rick,2018
A Simple Favor,2018
The Children Act,2018
Lizzie,2018
Unbroken: Path to Redemption,2018
Hell House LLC II: The Abaddon Hotel,2018
The House with a Clock in Its Walls,2018
Life Itself,2018
The Sisters Brothers,2018
Assassination Nation,2018
Little Italy,2018
Colette,2018
Fahrenheit 11/9,2018
"Love, Gilda",2018
Smallfoot,2018
Night School,2018
The Old Man & the Gun,2018
Hell Fest,2018
Venom,2018
A Star Is Born,2018
The Great Buster: A Celebration,2018
First Man,2018
Bad Times at the El Royale,2018
Goosebumps 2: Haunted Halloween,2018
Beautiful Boy,2018
The Oath,2018
Gosnell: The Trial of America's Biggest Serial Killer,2018
After Everything,2018
Halloween,2018
The Hate U Give,2018
Can You Ever Forgive Me?,2018
Mid90s,2018
Wildlife,2018
What They Had,2018
Hunter Killer,2018
Johnny English Strikes Again,2018
Suspiria,2018
Indivisible,2018
Bullitt County,2018
The Nutcracker and the Four Realms,2018
Nobody's Fool,2018
Boy Erased,2018
A Private War,2018
Bodied,2018
The Front Runner,2018
The Girl in the Spider's Web,2018
Overlord,2018
The Ballad of Buster Scruggs,2018
Lazer Team 2,2018
Fantastic Beasts: The Crimes of Grindelwald,2018
Widows,2018
Green Book,2018
Instant Family,2018
Ralph Breaks the Internet,2018
Creed II,2018
Robin Hood,2018
Roma,2018
The Favourite,2018
Mowgli: Legend of the Jungle,2018
The Possession of Hannah Grace,2018
The Cabin,2018
Mary Queen of Scots,2018
Ben Is Back,2018
Spider-Man: Into the Spider-Verse,2018
Mortal Engines,2018
The Mule,2018
If Beale Street Could Talk,2018
Mary Poppins Returns,2018
Bumblebee,2018
Welcome to Marwen,2018
Second Act,2018
Holmes & Watson,2018
Vice,2018
On the Basis of Sex,2018
Destroyer,2018
Avengers: Endgame,2019
The Lion King,2019
Star Wars: The Rise of Skywalker,2019
Frozen II,2019
Toy Story 4,2019
Captain Marvel,2019
Spider-Man: Far From Home,2019
Aladdin,2019
Joker,2019
Jumanji: The Next Level,2019
Escape Room,2019
Rust Creek,2019
American Hangman,2019
A Dog's Way Home,2019
The Upside,2019
Replicas,2019
After Darkness,2019
Glass,2019
Close,2019
The Standoff at Sparrow Creek,2019
The Final Wish,2019
The Kid Who Would Be King,2019
Serenity,2019
I Am Mother,2019
The Vast of Night,2019
Miss Bala,2019
Velvet Buzzsaw,2019
Piercing,2019
The Lego Movie 2: The Second Part,2019
What Men Want,2019
Cold Pursuit,2019
High Flying Bird,2019
The Prodigy,2019
Isn't It Romantic,2019
Happy Death Day 2U,2019
Alita: Battle Angel,2019
How to Train Your Dragon: The Hidden World,2019
Fighting with My Family,2019
Tyler Perry's A Madea Family Funeral,2019
Greta,2019
Triple Frontier,2019
The Kid,2019
Wonder Park,2019
Nancy Drew and the Hidden Staircase,2019
Captive State,2019
The Aftermath,2019
Five Feet Apart,2019
The Highwaymen,2019
Red 11,2019
Never Grow Old,2019
Triple Threat,2019
Us,2019
Hotel Mumbai,2019
The Dirt,2019
Dragged Across Concrete,2019
Dumbo,2019
The Beach Bum,2019
Unplanned,2019
Shazam!,2019
Pet Sematary,2019
The Best of Enemies,2019
High Life,2019
Unicorn Store,2019
The Haunting of Sharon Tate,2019
The Wind,2019
The Silence,2019
Hellboy,2019
Little,2019
Missing Link,2019
After,2019
Her Smell,2019
Breakthrough,2019
Penguins,2019
The Curse of La Llorona,2019
Under the Silver Lake,2019
Family,2019
Fast Color,2019
Someone Great,2019
I Spit on Your Grave: Deja Vu,2019
I Trapped the Devil,2019
Body at Brighton Rock,2019
Buffaloed,2019
Long Shot,2019
The Intruder,2019
UglyDolls,2019
"Extremely Wicked, Shockingly Evil and Vile",2019
The Last Summer,2019
Pokémon Detective Pikachu,2019
The Hustle,2019
Tolkien,2019
Poms,2019
The Professor and the Madman,2019
John Wick: Chapter 3 – Parabellum,2019
A Dog's Journey,2019
The Sun Is Also a Star,2019
The Professor,2019
The Souvenir,2019
The Tomorrow Man,2019
Brightburn,2019
Booksmart,2019
The Perfection,2019
Always Be My Maybe,2019
Godzilla: King of the Monsters,2019
Rocketman,2019
Ma,2019
